Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.02,1.32,31.7,2.127,0.01872941666666666,1.8501219444444448,70.228
24.01,1.41,33.8,2.119,0.019895055555555558,1.8700170000000003,72.347
24.0,2.07,49.6,2.12,0.029208888888888892,1.899225888888889,74.467
24.01,2.19,52.5,2.128,0.031033333333333333,1.9302592222222223,76.595
24.01,1.26,30.2,2.121,0.01779283333333333,1.9480520555555556,78.716
24.0,2.19,52.5,2.122,0.030945833333333332,1.9789978888888888,80.838
24.02,0.96,23.0,2.129,0.013601944444444444,1.9925998333333332,82.967
23.92,9.93,237.5,2.121,0.13992708333333334,2.1325269166666665,85.088
23.92,10.95,261.9,2.118,0.15408449999999999,2.2866114166666667,87.20599999999999
24.01,1.29,30.9,2.128,0.018265333333333335,2.30487675,89.33399999999999
24.0,2.1,50.4,2.119,0.029666,2.33454275,91.45299999999999
24.01,2.07,49.7,2.119,0.029253972222222226,2.3637967222222223,93.57199999999999
24.0,2.01,48.2,2.131,0.02853172222222222,2.3923284444444444,95.70299999999999
24.0,2.16,51.8,2.121,0.03051883333333333,2.4228472777777776,97.82399999999998
24.0,2.13,51.1,2.12,0.030092222222222225,2.4529395,99.94399999999999
24.01,2.19,52.5,2.125,0.030989583333333334,2.483929083333333,102.06899999999999
24.0,2.19,52.5,2.121,0.03093125,2.514860333333333,104.18999999999998
24.01,1.35,32.4,2.119,0.019071,2.533931333333333,106.30899999999998
24.0,1.35,32.4,2.128,0.019152,2.553083333333333,108.43699999999998
24.0,2.1,50.4,2.12,0.029679999999999998,2.582763333333333,110.55699999999999
24.01,1.26,30.2,2.138,0.017935444444444445,2.6006987777777772,112.695
23.92,9.93,237.5,2.125,0.1401909722222222,2.7408897499999996,114.82
23.93,10.32,246.9,2.135,0.14642541666666667,2.8873151666666663,116.955
24.01,9.63,231.2,2.123,0.13634377777777779,3.023658944444444,119.078
24.0,2.19,52.5,2.137,0.031164583333333332,3.0548235277777773,121.215
24.0,2.16,51.8,2.122,0.03053322222222222,3.0853567499999994,123.337
24.0,2.19,52.5,2.134,0.031120833333333334,3.116477583333333,125.471
24.0,1.35,32.4,2.121,0.019089,3.135566583333333,127.592
24.01,2.04,48.9,2.135,0.029000416666666664,3.164567,129.727
24.0,2.19,52.5,2.122,0.030945833333333332,3.1955128333333334,131.849
24.0,1.83,43.9,2.122,0.025876611111111107,3.2213894444444446,133.971
24.02,1.83,43.9,2.126,0.025925388888888887,3.2473148333333337,136.097
24.01,1.83,43.9,2.121,0.025864416666666664,3.2731792500000005,138.21800000000002
24.0,2.19,52.5,2.121,0.03093125,3.3041105000000006,140.33900000000003
24.01,2.19,52.5,2.126,0.031004166666666666,3.335114666666667,142.46500000000003
24.01,1.83,43.9,2.117,0.025815638888888888,3.360930305555556,144.58200000000002
24.01,1.59,38.1,2.118,0.0224155,3.3833458055555563,146.70000000000002
24.0,1.89,45.3,2.134,0.026852833333333333,3.4101986388888896,148.834
23.92,10.41,249.0,2.121,0.1467025,3.5569011388888896,150.955
23.92,10.2,243.9,2.12,0.14363,3.7005311388888895,153.07500000000002
24.0,2.16,51.8,2.125,0.030576388888888886,3.7311075277777785,155.20000000000002
24.0,1.77,42.4,2.121,0.024980666666666665,3.756088194444445,157.32100000000003
24.0,1.5,36.0,2.136,0.02136,3.777448194444445,159.45700000000002
24.0,1.65,39.6,2.122,0.023341999999999998,3.800790194444445,161.579
24.01,1.59,38.1,2.12,0.022436666666666667,3.8232268611111118,163.699
24.0,2.04,48.9,2.129,0.028918916666666666,3.8521457777777783,165.828
24.0,2.19,52.5,2.119,0.030902083333333337,3.8830478611111117,167.947
24.01,1.35,32.4,2.118,0.019062,3.9021098611111116,170.065
24.0,2.16,51.8,2.13,0.03064833333333333,3.9327581944444447,172.195
24.01,2.16,51.8,2.122,0.03053322222222222,3.963291416666667,174.317
24.0,1.35,32.4,2.121,0.019089,3.982380416666667,176.43800000000002
24.0,2.16,51.8,2.128,0.030619555555555556,4.0129999722222225,178.56600000000003
24.0,2.13,51.1,2.121,0.030106416666666667,4.043106388888889,180.68700000000004
24.0,2.16,51.8,2.118,0.030475666666666665,4.073582055555556,182.80500000000004
24.0,2.19,52.5,2.128,0.031033333333333333,4.104615388888889,184.93300000000005
24.01,1.77,42.4,2.12,0.02496888888888889,4.129584277777778,187.05300000000005
24.0,1.32,31.6,2.122,0.018626444444444445,4.148210722222222,189.17500000000007
23.92,10.92,261.2,2.124,0.15410800000000002,4.302318722222222,191.29900000000006
23.91,10.98,262.5,2.121,0.15465625000000002,4.4569749722222225,193.42000000000007
24.01,1.77,42.4,2.117,0.024933555555555556,4.481908527777778,195.53700000000006
24.01,1.35,32.4,2.133,0.019197,4.501105527777778,197.67000000000007
24.0,1.74,41.7,2.121,0.02456825,4.525673777777778,199.79100000000008
24.01,1.71,41.0,2.12,0.024144444444444444,4.549818222222222,201.9110000000001
24.0,1.35,32.4,2.126,0.019133999999999998,4.568952222222222,204.0370000000001
24.0,2.16,51.8,2.119,0.030490055555555555,4.5994422777777775,206.1560000000001
24.01,1.29,30.9,2.119,0.018188083333333334,4.617630361111111,208.2750000000001
24.0,2.13,51.1,2.132,0.03026255555555556,4.647892916666667,210.4070000000001
24.0,2.07,49.6,2.12,0.029208888888888892,4.677101805555556,212.5270000000001
24.0,2.19,52.5,2.123,0.03096041666666667,4.708062222222223,214.6500000000001
24.0,1.38,33.1,2.126,0.01954738888888889,4.727609611111112,216.7760000000001
23.99,1.98,47.5,2.121,0.02798541666666667,4.755595027777779,218.8970000000001
24.0,1.29,30.9,2.12,0.018196666666666667,4.773791694444445,221.0170000000001
23.99,2.13,51.0,2.13,0.030175,4.803966694444445,223.1470000000001
24.0,2.19,52.5,2.118,0.0308875,4.834854194444445,225.2650000000001
23.92,11.01,263.3,2.134,0.1560783888888889,4.9909325833333344,227.3990000000001
23.92,10.92,261.2,2.119,0.15374522222222223,5.144677805555557,229.5180000000001
24.0,1.35,32.4,2.12,0.01908,5.163757805555557,231.6380000000001
24.0,2.19,52.5,2.133,0.031106250000000002,5.1948640555555565,233.7710000000001
24.0,1.47,35.2,2.12,0.02072888888888889,5.215592944444445,235.8910000000001
24.01,1.86,44.6,2.121,0.026276833333333336,5.2418697777777785,238.0120000000001
24.0,2.19,52.5,2.129,0.031047916666666665,5.272917694444446,240.1410000000001
24.0,2.19,52.5,2.12,0.03091666666666667,5.303834361111112,242.2610000000001
24.0,1.95,46.8,2.117,0.027520999999999997,5.331355361111112,244.3780000000001
24.01,1.92,46.0,2.127,0.02717833333333333,5.3585336944444455,246.5050000000001
24.01,1.2,28.8,2.121,0.016968,5.375501694444446,248.62600000000012
24.0,1.56,37.4,2.118,0.022003666666666664,5.397505361111112,250.7440000000001
24.02,1.44,34.5,2.131,0.02042208333333333,5.417927444444445,252.8750000000001
24.01,2.16,51.8,2.121,0.03051883333333333,5.448446277777779,254.99600000000012
24.01,1.86,44.6,2.121,0.026276833333333336,5.474723111111112,257.11700000000013
24.0,2.1,50.4,2.127,0.029777999999999995,5.504501111111113,259.24400000000014
23.99,1.23,29.5,2.121,0.017380416666666666,5.521881527777779,261.3650000000001
23.99,2.22,53.2,2.12,0.03132888888888889,5.553210416666668,263.4850000000001
24.01,1.38,33.1,2.127,0.019556583333333332,5.572767000000002,265.61200000000014
23.91,10.29,246.0,2.122,0.14500333333333332,5.717770333333335,267.73400000000015
23.93,10.77,257.7,2.118,0.15161349999999998,5.869383833333335,269.85200000000015
24.0,2.16,51.8,2.129,0.030633944444444443,5.900017777777779,271.98100000000017
24.0,1.92,46.0,2.119,0.027076111111111113,5.927093888888891,274.1000000000002
24.0,2.19,52.5,2.119,0.030902083333333337,5.957995972222224,276.2190000000002
24.01,2.01,48.2,2.129,0.028504944444444444,5.986500916666668,278.34800000000024
24.01,2.07,49.7,2.118,0.029240166666666668,6.015741083333335,280.46600000000024
24.01,1.44,34.5,2.12,0.020316666666666667,6.036057750000002,282.58600000000024
23.99,1.41,33.8,2.13,0.01999833333333333,6.056056083333336,284.71600000000024
24.0,2.04,48.9,2.117,0.028755916666666666,6.084812000000002,286.83300000000025
23.99,2.22,53.2,2.119,0.03131411111111112,6.116126111111114,288.9520000000003
24.0,2.22,53.2,2.13,0.03147666666666667,6.14760277777778,291.0820000000003
23.99,1.41,33.8,2.119,0.019895055555555558,6.167497833333336,293.2010000000003
23.99,2.22,53.2,2.12,0.03132888888888889,6.198826722222225,295.3210000000003
24.0,1.56,37.4,2.129,0.022117944444444444,6.220944666666669,297.45000000000033
24.0,1.26,30.2,2.12,0.017784444444444443,6.238729111111113,299.57000000000033
24.0,2.13,51.1,2.118,0.03006383333333333,6.268792944444447,301.68800000000033
24.0,1.35,32.4,2.133,0.019197,6.287989944444447,303.8210000000003
23.99,2.13,51.0,2.118,0.030005,6.317994944444447,305.9390000000003
23.91,11.04,263.9,2.118,0.15526116666666664,6.473256111111113,308.0570000000003
23.92,10.92,261.2,2.13,0.15454333333333334,6.627799444444447,310.1870000000003
23.99,2.19,52.5,2.119,0.030902083333333337,6.65870152777778,312.3060000000003
24.01,1.23,29.5,2.124,0.017405,6.6761065277777805,314.43000000000035
24.0,1.5,36.0,2.126,0.02126,6.69736652777778,316.5560000000003
23.99,1.77,42.4,2.121,0.024980666666666665,6.722347194444447,318.6770000000003
24.01,1.29,30.9,2.12,0.018196666666666667,6.740543861111114,320.7970000000003
24.01,1.41,33.8,2.127,0.019970166666666664,6.760514027777781,322.9240000000003
23.99,1.38,33.1,2.119,0.01948302777777778,6.779997055555558,325.04300000000035
23.99,2.22,53.2,2.121,0.03134366666666667,6.811340722222225,327.1640000000003
24.0,1.38,33.1,2.129,0.019574972222222226,6.830915694444447,329.29300000000035
23.99,1.68,40.3,2.12,0.02373222222222222,6.854647916666669,331.41300000000035
23.99,1.98,47.5,2.12,0.027972222222222225,6.882620138888891,333.53300000000036
24.01,1.35,32.4,2.128,0.019152,6.901772138888891,335.66100000000034
24.0,2.22,53.2,2.12,0.03132888888888889,6.93310102777778,337.78100000000035
24.0,2.25,54.0,2.123,0.031845000000000005,6.9649460277777795,339.90400000000034
24.0,1.35,32.4,2.126,0.019133999999999998,6.98408002777778,342.0300000000003
24.01,2.01,48.2,2.12,0.028384444444444448,7.0124644722222245,344.1500000000003
24.0,2.25,54.0,2.12,0.0318,7.044264472222224,346.2700000000003
23.91,10.2,243.8,2.129,0.1441806111111111,7.1884450833333355,348.39900000000034
23.91,11.04,263.9,2.122,0.15555438888888887,7.343999472222224,350.52100000000036
23.93,1.35,32.3,2.118,0.01900316666666666,7.363002638888891,352.63900000000035
23.99,2.16,51.8,2.129,0.030633944444444443,7.393636583333335,354.76800000000037
24.0,1.95,46.8,2.122,0.027585999999999996,7.421222583333336,356.8900000000004
24.0,2.22,53.2,2.135,0.031550555555555554,7.452773138888891,359.0250000000004
23.99,2.1,50.3,2.119,0.02960713888888889,7.48238027777778,361.1440000000004
