Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s,power_smooth
24.0,1.65,39.6,0.094,0.001034,0.001034,0.094,139.16230620782844
23.85,1.65,39.3,2.125,0.023197916666666662,0.024231916666666662,2.219,137.92683468673323
23.69,10.47,248.0,2.118,0.14590666666666666,0.17013858333333332,4.337,136.701235777973
23.68,10.47,247.9,2.129,0.14660530555555554,0.3167438888888888,6.465999999999999,135.4855094815478
23.67,10.41,246.4,2.121,0.14517066666666667,0.4619145555555555,8.587,134.27965579745756
23.68,10.41,246.5,2.121,0.14522958333333333,0.6071441388888889,10.708,133.0836747257023
23.66,10.38,245.5,2.128,0.14511777777777776,0.7522619166666666,12.836,131.89756626628204
23.69,10.35,245.1,2.118,0.1442005,0.8964624166666666,14.954,130.7213304191968
23.67,10.32,244.2,2.122,0.1439423333333333,1.04040475,17.076,129.5549671844465
23.67,10.32,244.2,2.127,0.14428149999999998,1.18468625,19.203,128.3984765620312
23.67,10.29,243.5,2.119,0.14332680555555558,1.3280130555555556,21.322,127.2518585519509
23.67,10.26,242.8,2.12,0.14298222222222226,1.470995277777778,23.442,126.11511315420557
23.65,10.23,241.9,2.132,0.14325855555555556,1.6142538333333336,25.574,124.98824036879525
23.77,10.23,243.1,2.117,0.14295630555555555,1.7572101388888892,27.691000000000003,123.8712401957199
23.99,1.65,39.5,2.117,0.023228194444444444,1.7804383333333336,29.808000000000003,122.76411263497955
23.99,1.65,39.5,2.122,0.023283055555555553,1.8037213888888892,31.930000000000003,121.66685768657419
24.0,1.65,39.6,2.127,0.023396999999999998,1.8271183888888891,34.057,120.57947535050381
24.0,1.68,40.3,2.119,0.02372102777777778,1.8508394166666668,36.176,119.50196562676842
24.0,1.68,40.3,2.119,0.02372102777777778,1.8745604444444446,38.295,118.43432851536804
24.0,1.65,39.6,2.132,0.023452000000000004,1.8980124444444446,40.427,117.37656401630262
24.0,1.68,40.3,2.122,0.023754611111111105,1.9217670555555557,42.549,116.3286721295722
24.0,1.65,39.6,2.133,0.023463,1.9452300555555557,44.682,115.29065285517677
24.0,1.68,40.3,2.119,0.02372102777777778,1.9689510833333335,46.801,114.26250619311631
24.0,1.65,39.6,2.122,0.023341999999999998,1.9922930833333334,48.923,113.24423214339086
24.0,1.68,40.3,2.132,0.023866555555555558,2.016159638888889,51.055,112.2358307060004
23.94,1.68,40.2,2.12,0.023673333333333334,2.0398329722222224,53.175,111.23730188094491
23.75,10.29,244.3,2.12,0.14386555555555558,2.183698527777778,55.294999999999995,110.24864566822443
23.76,10.26,243.7,2.128,0.14405377777777778,2.327752305555556,57.422999999999995,109.26986206783891
24.0,1.65,39.6,2.119,0.023309,2.3510613055555556,59.541999999999994,108.3009510797884
24.0,1.68,40.3,2.118,0.02370983333333333,2.374771138888889,61.66,107.34191270407288
24.0,1.68,40.3,2.119,0.02372102777777778,2.3984921666666668,63.778999999999996,106.39274694069235
24.0,1.65,39.6,2.125,0.023375,2.421867166666667,65.904,105.4534537896468
24.0,1.65,39.6,2.118,0.023298,2.445165166666667,68.02199999999999,104.52403325093623
24.0,1.65,39.6,2.118,0.023298,2.468463166666667,70.13999999999999,103.60448532456066
24.0,1.65,39.6,2.118,0.023298,2.491761166666667,72.25799999999998,102.69481001052009
24.0,1.65,39.6,2.126,0.023386,2.515147166666667,74.38399999999999,101.79500730881448
24.0,1.68,40.3,2.122,0.023754611111111105,2.5389017777777783,76.50599999999999,100.90507721944388
24.0,1.65,39.6,2.118,0.023298,2.5621997777777783,78.62399999999998,100.02501974240825
24.0,1.68,40.3,2.131,0.02385536111111111,2.5860551388888893,80.75499999999998,99.15483487770763
24.0,1.65,39.6,2.118,0.023298,2.6093531388888893,82.87299999999998,98.29452262534198
23.75,10.29,244.3,2.122,0.14400127777777777,2.7533544166666672,84.99499999999998,97.44408298531133
23.75,10.26,243.6,2.128,0.14399466666666666,2.8973490833333337,87.12299999999998,96.60351595761566
24.0,1.68,40.3,2.118,0.02370983333333333,2.921058916666667,89.24099999999997,95.77282154225499
24.0,1.68,40.3,2.119,0.02372102777777778,2.944779944444445,91.35999999999997,94.9519997392293
24.0,1.65,39.6,2.132,0.023452000000000004,2.9682319444444447,93.49199999999998,94.1410505485386
24.01,1.65,39.6,2.12,0.023320000000000004,2.9915519444444447,95.61199999999998,93.33997397018288
24.03,0.99,23.7,2.121,0.01396325,3.005515194444445,97.73299999999998,92.54877000416217
24.03,0.96,23.0,2.129,0.013601944444444444,3.0191171388888893,99.86199999999998,91.76743865047644
24.01,1.32,31.6,2.121,0.018617666666666668,3.037734805555556,101.98299999999998,90.99597990912568
24.0,1.47,35.2,2.118,0.020709333333333333,3.0584441388888894,104.10099999999997,90.23439378010993
24.0,1.65,39.6,2.128,0.023408000000000005,3.0818521388888893,106.22899999999997,89.48268026342916
24.0,1.65,39.6,2.119,0.023309,3.105161138888889,108.34799999999997,88.74083935908337
23.74,10.11,240.0,2.119,0.14126666666666668,3.2464278055555558,110.46699999999997,88.00887106707259
23.75,10.23,242.9,2.116,0.14277122222222222,3.389199027777778,112.58299999999997,87.28677538739677
24.01,1.59,38.1,2.13,0.0225425,3.411741527777778,114.71299999999997,86.57455232005597
24.0,1.59,38.1,2.116,0.022394333333333336,3.4341358611111112,116.82899999999997,85.87220186505013
23.99,1.65,39.5,2.115,0.02320625,3.457342111111111,118.94399999999996,85.1797240223793
24.03,1.44,34.6,2.117,0.02034672222222222,3.477688833333333,121.06099999999996,84.49711879204345
24.04,0.84,20.1,2.132,0.011903666666666668,3.4895924999999997,123.19299999999997,83.82438617404259
24.0,1.11,26.6,2.121,0.015671833333333336,3.505264333333333,125.31399999999996,83.16152616837671
24.0,1.05,25.2,2.118,0.014825999999999999,3.5200903333333327,127.43199999999996,82.50853877504582
24.02,1.05,25.2,2.132,0.014924,3.535014333333333,129.56399999999996,81.86542399404993
24.0,1.23,29.5,2.12,0.017372222222222223,3.552386555555555,131.68399999999997,81.23218182538903
23.99,2.04,48.9,2.12,0.02879666666666667,3.5811832222222217,133.80399999999997,80.6088122690631
24.02,2.1,50.4,2.127,0.029777999999999995,3.6109612222222216,135.93099999999998,79.99531532507217
24.0,2.22,53.2,2.12,0.03132888888888889,3.6422901111111106,138.051,79.39169099341623
23.73,10.8,256.2,2.119,0.15080216666666668,3.7930922777777774,140.17,78.79793927409527
23.73,10.38,246.3,2.13,0.1457275,3.9388197777777774,142.29999999999998,78.21406016710931
23.63,10.8,255.2,2.121,0.1503553333333333,4.0891751111111105,144.421,77.64005367245832
23.99,2.22,53.2,2.116,0.03126977777777778,4.120444888888889,146.537,77.07591979014234
24.0,2.22,53.2,2.114,0.03124022222222222,4.151685111111111,148.651,76.52165852016134
