Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.03,0.63,15.1,2.118,0.008883833333333332,0.44581658333333335,106.19
24.03,0.63,15.1,2.128,0.008925777777777779,0.4547423611111111,108.318
24.03,0.63,15.1,2.118,0.008883833333333332,0.4636261944444444,110.43599999999999
24.03,0.63,15.1,2.121,0.008896416666666665,0.4725226111111111,112.55699999999999
24.03,0.63,15.1,2.13,0.008934166666666665,0.4814567777777778,114.68699999999998
24.03,0.63,15.1,2.122,0.00890061111111111,0.4903573888888889,116.80899999999998
24.03,0.63,15.1,2.134,0.008950944444444444,0.49930833333333335,118.94299999999998
24.03,0.63,15.1,2.121,0.008896416666666665,0.50820475,121.06399999999998
24.03,0.63,15.1,2.117,0.008879638888888888,0.5170843888888889,123.18099999999998
24.03,0.63,15.1,2.129,0.008929972222222223,0.5260143611111111,125.30999999999999
24.03,0.63,15.1,2.116,0.008875444444444444,0.5348898055555555,127.42599999999999
24.03,0.63,15.1,2.117,0.008879638888888888,0.5437694444444444,129.54299999999998
24.03,0.63,15.1,2.117,0.008879638888888888,0.5526490833333333,131.65999999999997
24.03,0.63,15.1,2.125,0.008913194444444444,0.5615622777777778,133.78499999999997
24.03,0.63,15.1,2.121,0.008896416666666665,0.5704586944444444,135.90599999999998
24.03,0.63,15.1,2.122,0.00890061111111111,0.5793593055555555,138.02799999999996
24.03,0.63,15.1,2.125,0.008913194444444444,0.5882725,140.15299999999996
24.03,0.63,15.1,2.127,0.008921583333333333,0.5971940833333333,142.27999999999997
24.03,0.63,15.1,2.135,0.008955138888888887,0.6061492222222222,144.41499999999996
24.03,0.63,15.1,2.122,0.00890061111111111,0.6150498333333333,146.53699999999998
24.03,0.63,15.1,2.135,0.008955138888888887,0.6240049722222222,148.67199999999997
24.03,0.63,15.1,2.121,0.008896416666666665,0.6329013888888888,150.79299999999998
24.03,0.63,15.1,2.134,0.008950944444444444,0.6418523333333332,152.92699999999996
24.03,0.63,15.1,2.121,0.008896416666666665,0.6507487499999999,155.04799999999997
24.03,0.63,15.1,2.136,0.008959333333333333,0.6597080833333332,157.18399999999997
24.03,0.63,15.1,2.121,0.008896416666666665,0.6686044999999998,159.30499999999998
24.03,0.63,15.1,2.123,0.008904805555555556,0.6775093055555553,161.42799999999997
24.03,0.63,15.1,2.123,0.008904805555555556,0.6864141111111108,163.55099999999996
