Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.0,2.22,53.2,2.118,0.03129933333333333,2.1708303888888882,165.76399999999998
24.0,2.22,53.2,2.122,0.031358444444444446,2.2021888333333326,167.88599999999997
24.0,2.22,53.2,2.131,0.03149144444444444,2.233680277777777,170.01699999999997
24.04,1.41,33.8,2.128,0.019979555555555556,2.2536598333333324,172.14499999999998
24.01,2.28,54.7,2.119,0.03219702777777778,2.2858568611111103,174.26399999999998
24.01,2.25,54.0,2.12,0.0318,2.3176568611111104,176.384
24.01,2.25,54.0,2.132,0.03198,2.3496368611111103,178.516
24.01,2.25,54.0,2.12,0.0318,2.3814368611111103,180.636
24.01,2.25,54.0,2.119,0.03178500000000001,2.4132218611111105,182.755
24.01,2.25,54.0,2.133,0.031995,2.4452168611111107,184.888
24.01,2.25,54.0,2.12,0.0318,2.4770168611111107,187.008
24.01,2.25,54.0,2.12,0.0318,2.508816861111111,189.12800000000001
24.01,2.25,54.0,2.127,0.031904999999999996,2.540721861111111,191.25500000000002
24.01,2.25,54.0,2.121,0.031815,2.572536861111111,193.37600000000003
24.01,2.25,54.0,2.12,0.0318,2.604336861111111,195.49600000000004
24.0,2.25,54.0,2.132,0.03198,2.6363168611111107,197.62800000000004
24.01,2.25,54.0,2.12,0.0318,2.668116861111111,199.74800000000005
24.01,2.25,54.0,2.124,0.031860000000000006,2.699976861111111,201.87200000000004
24.01,2.25,54.0,2.128,0.031920000000000004,2.7318968611111107,204.00000000000006
24.01,2.25,54.0,2.115,0.031725,2.763621861111111,206.11500000000007
24.01,2.25,54.0,2.12,0.0318,2.795421861111111,208.23500000000007
24.0,2.25,54.0,2.132,0.03198,2.827401861111111,210.36700000000008
24.01,2.25,54.0,2.119,0.03178500000000001,2.859186861111111,212.48600000000008
24.0,2.25,54.0,2.121,0.031815,2.891001861111111,214.60700000000008
24.0,2.25,54.0,2.131,0.03196499999999999,2.922966861111111,216.73800000000008
24.01,2.25,54.0,2.121,0.031815,2.954781861111111,218.8590000000001
24.01,2.25,54.0,2.12,0.0318,2.986581861111111,220.9790000000001
24.01,2.25,54.0,2.131,0.03196499999999999,3.018546861111111,223.1100000000001
24.01,2.25,54.0,2.116,0.031740000000000004,3.050286861111111,225.2260000000001
24.01,2.25,54.0,2.119,0.03178500000000001,3.0820718611111113,227.3450000000001
24.01,2.25,54.0,2.133,0.031995,3.1140668611111115,229.47800000000012
24.01,2.25,54.0,2.119,0.03178500000000001,3.1458518611111117,231.59700000000012
24.01,2.25,54.0,2.12,0.0318,3.1776518611111118,233.71700000000013
24.01,2.25,54.0,2.132,0.03198,3.2096318611111117,235.84900000000013
24.01,2.25,54.0,2.12,0.0318,3.2414318611111117,237.96900000000014
24.01,2.25,54.0,2.121,0.031815,3.2732468611111116,240.09000000000015
24.01,2.25,54.0,2.127,0.031904999999999996,3.3051518611111117,242.21700000000016
24.01,2.25,54.0,2.12,0.0318,3.3369518611111118,244.33700000000016
24.01,2.25,54.0,2.119,0.03178500000000001,3.368736861111112,246.45600000000016
24.01,2.25,54.0,2.133,0.031995,3.400731861111112,248.58900000000017
24.01,2.25,54.0,2.124,0.031860000000000006,3.432591861111112,250.71300000000016
24.01,2.25,54.0,2.115,0.031725,3.4643168611111124,252.82800000000017
24.01,2.25,54.0,2.132,0.03198,3.4962968611111123,254.96000000000018
24.01,2.25,54.0,2.121,0.031815,3.528111861111112,257.0810000000002
24.01,2.25,54.0,2.12,0.0318,3.5599118611111122,259.2010000000002
24.01,2.25,54.0,2.128,0.031920000000000004,3.591831861111112,261.3290000000002
24.01,2.25,54.0,2.121,0.031815,3.623646861111112,263.45000000000016
24.01,2.25,54.0,2.136,0.03204,3.655686861111112,265.5860000000002
24.01,2.25,54.0,2.12,0.0318,3.687486861111112,267.7060000000002
24.01,2.25,54.0,2.119,0.03178500000000001,3.719271861111112,269.8250000000002
24.01,2.25,54.0,2.133,0.031995,3.7512668611111124,271.9580000000002
24.0,2.25,54.0,2.12,0.0318,3.7830668611111125,274.0780000000002
24.01,2.25,54.0,2.12,0.0318,3.8148668611111125,276.1980000000002
24.01,2.25,54.0,2.131,0.03196499999999999,3.8468318611111125,278.3290000000002
24.01,2.25,54.0,2.116,0.031740000000000004,3.8785718611111126,280.44500000000016
24.01,2.25,54.0,2.119,0.03178500000000001,3.910356861111113,282.5640000000002
24.01,2.25,54.0,2.133,0.031995,3.942351861111113,284.6970000000002
24.0,2.25,54.0,2.121,0.031815,3.974166861111113,286.81800000000015
24.01,2.25,54.0,2.119,0.03178500000000001,4.005951861111113,288.9370000000002
24.01,1.89,45.3,2.129,0.026789916666666663,4.03274177777778,291.0660000000002
24.01,1.32,31.6,2.118,0.01859133333333333,4.051333111111113,293.1840000000002
24.01,1.53,36.7,2.115,0.02156125,4.072894361111113,295.2990000000002
24.01,1.8,43.2,2.12,0.025440000000000004,4.098334361111113,297.4190000000002
24.01,2.25,54.0,2.131,0.03196499999999999,4.1302993611111125,299.5500000000002
24.01,2.25,54.0,2.123,0.031845000000000005,4.162144361111112,301.6730000000002
24.01,2.25,54.0,2.133,0.031995,4.194139361111112,303.80600000000015
24.0,2.1,50.4,2.124,0.029736,4.223875361111112,305.9300000000002
24.0,2.22,53.2,2.119,0.03131411111111112,4.255189472222224,308.0490000000002
24.01,1.8,43.2,2.132,0.025584000000000006,4.280773472222224,310.1810000000002
24.01,2.13,51.1,2.121,0.030106416666666667,4.31087988888889,312.3020000000002
24.02,2.16,51.8,2.121,0.03051883333333333,4.341398722222224,314.4230000000002
24.01,2.25,54.0,2.128,0.031920000000000004,4.3733187222222245,316.55100000000016
24.01,1.38,33.1,2.119,0.01948302777777778,4.392801750000002,318.6700000000002
24.0,2.22,53.2,2.121,0.03134366666666667,4.4241454166666685,320.79100000000017
24.01,1.35,32.4,2.129,0.019160999999999997,4.443306416666669,322.9200000000002
24.01,1.35,32.4,2.123,0.019107000000000002,4.462413416666669,325.0430000000002
24.0,2.13,51.1,2.122,0.030120611111111112,4.49253402777778,327.1650000000002
24.0,2.25,54.0,2.124,0.031860000000000006,4.52439402777778,329.2890000000002
24.01,2.1,50.4,2.119,0.029666,4.55406002777778,331.40800000000024
24.01,2.01,48.2,2.124,0.028438000000000005,4.58249802777778,333.53200000000027
24.01,2.25,54.0,2.128,0.031920000000000004,4.614418027777781,335.66000000000025
24.01,2.19,52.5,2.121,0.03093125,4.645349277777781,337.78100000000023
24.01,2.01,48.2,2.119,0.02837105555555556,4.673720333333336,339.90000000000026
24.01,2.01,48.2,2.128,0.028491555555555558,4.7022118888888915,342.02800000000025
24.01,1.59,38.1,2.116,0.022394333333333336,4.724606222222225,344.14400000000023
24.01,1.77,42.4,2.122,0.024992444444444442,4.749598666666669,346.26600000000025
24.02,1.68,40.3,2.119,0.02372102777777778,4.773319694444447,348.3850000000003
24.03,1.83,43.9,2.128,0.02594977777777778,4.799269472222225,350.51300000000026
24.0,2.1,50.4,2.123,0.029722000000000002,4.828991472222224,352.63600000000025
24.01,2.19,52.5,2.136,0.03115,4.8601414722222245,354.7720000000003
24.01,1.83,43.9,2.117,0.025815638888888888,4.8859571111111135,356.8890000000003
24.0,2.25,54.0,2.119,0.03178500000000001,4.917742111111114,359.0080000000003
24.01,2.19,52.5,2.132,0.03109166666666667,4.94883377777778,361.1400000000003
24.02,2.22,53.3,2.118,0.03135816666666666,4.980191944444447,363.2580000000003
24.01,2.22,53.3,2.12,0.03138777777777778,5.0115797222222245,365.3780000000003
24.01,1.74,41.7,2.134,0.024718833333333336,5.0362985555555575,367.51200000000034
24.01,1.59,38.1,2.12,0.022436666666666667,5.058735222222224,369.63200000000035
24.01,2.25,54.0,2.121,0.031815,5.090550222222224,371.7530000000003
24.02,1.83,43.9,2.129,0.025961972222222223,5.1165121944444465,373.88200000000035
24.01,2.04,48.9,2.121,0.02881025,5.145322444444447,376.0030000000003
24.01,1.56,37.4,2.12,0.022024444444444444,5.167346888888892,378.12300000000033
24.0,2.25,54.0,2.127,0.031904999999999996,5.199251888888892,380.25000000000034
24.02,2.01,48.2,2.124,0.028438000000000005,5.227689888888892,382.37400000000036
24.0,2.22,53.2,2.119,0.03131411111111112,5.259004000000004,384.4930000000004
24.01,2.25,54.0,2.129,0.031935,5.290939000000003,386.6220000000004
24.01,1.92,46.0,2.118,0.02706333333333333,5.318002333333337,388.7400000000004
24.0,2.25,54.0,2.119,0.03178500000000001,5.349787333333337,390.85900000000044
24.01,2.13,51.1,2.131,0.03024836111111111,5.380035694444448,392.9900000000004
