Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s
24.01,1.65,39.6,2.132,0.023452000000000004,5.03368388888889,101.90400000000001
24.01,1.65,39.6,2.12,0.023320000000000004,5.05700388888889,104.02400000000002
24.01,1.65,39.6,2.12,0.023320000000000004,5.08032388888889,106.14400000000002
24.01,1.65,39.6,2.133,0.023463,5.10378688888889,108.27700000000002
24.01,1.65,39.6,2.12,0.023320000000000004,5.12710688888889,110.39700000000002
24.03,1.56,37.4,2.135,0.022180277777777774,5.149287166666668,112.53200000000002
23.88,10.14,242.1,2.122,0.14270449999999998,5.291991666666668,114.65400000000002
23.89,10.14,242.2,2.116,0.14235977777777775,5.434351444444446,116.77000000000002
23.89,10.02,239.3,2.119,0.1408546388888889,5.575206083333335,118.88900000000002
24.01,1.65,39.6,2.126,0.023386,5.598592083333335,121.01500000000003
24.01,1.47,35.2,2.117,0.020699555555555554,5.619291638888891,123.13200000000003
24.01,1.62,38.8,2.116,0.022805777777777776,5.642097416666669,125.24800000000003
24.01,1.65,39.6,2.122,0.023341999999999998,5.665439416666669,127.37000000000003
24.01,1.65,39.6,2.125,0.023375,5.688814416666669,129.49500000000003
24.03,1.14,27.3,2.121,0.01608425,5.704898666666669,131.61600000000004
24.01,1.59,38.1,2.121,0.022447250000000002,5.7273459166666685,133.73700000000005
24.01,1.17,28.0,2.13,0.016566666666666667,5.743912583333335,135.86700000000005
24.04,0.9,21.6,2.121,0.012726,5.756638583333335,137.98800000000006
23.89,9.87,235.7,2.117,0.13860469444444445,5.895243277777779,140.10500000000005
23.89,9.33,222.8,2.134,0.13207088888888888,6.0273141666666685,142.23900000000003
23.88,10.17,242.8,2.118,0.14284733333333333,6.170161500000002,144.35700000000003
24.02,2.13,51.1,2.117,0.03004963888888889,6.20021113888889,146.47400000000002
24.01,2.1,50.4,2.136,0.029904000000000003,6.23011513888889,148.61
24.0,2.22,53.2,2.122,0.031358444444444446,6.261473583333335,150.73200000000003
24.01,1.89,45.3,2.117,0.026638916666666665,6.288112500000001,152.84900000000002
24.0,2.19,52.5,2.13,0.031062499999999996,6.319175000000001,154.979
24.02,1.65,39.6,2.115,0.023265,6.342440000000002,157.09400000000002
24.0,1.41,33.8,2.12,0.019904444444444443,6.362344444444446,159.21400000000003
24.0,2.16,51.8,2.135,0.030720277777777773,6.393064722222224,161.34900000000002
24.01,1.2,28.8,2.116,0.016928000000000002,6.409992722222224,163.46500000000003
23.88,10.86,259.3,2.119,0.15262686111111112,6.562619583333335,165.58400000000003
23.88,10.83,258.6,2.115,0.15192750000000002,6.714547083333335,167.69900000000004
23.89,10.11,241.5,2.128,0.14275333333333334,6.857300416666669,169.82700000000006
24.03,1.08,25.9,2.116,0.015223444444444444,6.872523861111113,171.94300000000007
24.01,2.01,48.2,2.119,0.02837105555555556,6.900894916666669,174.06200000000007
24.0,2.22,53.2,2.122,0.031358444444444446,6.932253361111114,176.18400000000008
24.0,2.22,53.2,2.129,0.03146188888888889,6.963715250000003,178.31300000000007
24.01,1.95,46.8,2.123,0.027599000000000002,6.991314250000003,180.43600000000006
24.0,2.28,54.7,2.135,0.032440138888888886,7.023754388888892,182.57100000000005
24.0,1.86,44.6,2.121,0.026276833333333336,7.050031222222225,184.69200000000006
24.01,2.16,51.8,2.121,0.03051883333333333,7.080550055555559,186.81300000000007
24.0,2.16,51.8,2.125,0.030576388888888886,7.111126444444448,188.93800000000007
24.0,1.5,36.0,2.119,0.02119,7.132316444444448,191.05700000000007
24.0,1.41,33.8,2.122,0.01992322222222222,7.15223966666667,193.1790000000001
24.01,2.22,53.3,2.13,0.031535833333333325,7.183775500000004,195.30900000000008
23.88,10.71,255.7,2.12,0.15057888888888887,7.334354388888893,197.4290000000001
23.88,10.68,255.0,2.12,0.15016666666666667,7.484521055555559,199.5490000000001
24.01,2.04,48.9,2.13,0.0289325,7.513453555555559,201.6790000000001
24.0,1.74,41.7,2.118,0.0245335,7.5379870555555595,203.79700000000008
24.01,1.89,45.3,2.119,0.026664083333333335,7.564651138888893,205.91600000000008
24.01,1.83,43.9,2.132,0.025998555555555556,7.590649694444449,208.0480000000001
24.0,1.83,43.9,2.122,0.025876611111111107,7.61652630555556,210.17000000000007
24.01,2.19,52.5,2.136,0.03115,7.64767630555556,212.30600000000007
24.0,2.22,53.2,2.118,0.03129933333333333,7.678975638888893,214.42400000000006
24.0,2.04,48.9,2.115,0.02872875,7.707704388888893,216.53900000000007
24.0,2.19,52.5,2.121,0.03093125,7.738635638888893,218.66000000000008
23.88,1.44,34.3,2.126,0.02025605555555555,7.758891694444449,220.7860000000001
23.88,10.83,258.6,2.12,0.15228666666666668,7.911178361111116,222.9060000000001
23.88,10.65,254.3,2.119,0.14968380555555558,8.060862166666672,225.0250000000001
24.0,2.22,53.2,2.132,0.03150622222222223,8.092368388888895,227.1570000000001
24.01,2.16,51.8,2.115,0.0304325,8.122800888888895,229.2720000000001
24.01,1.38,33.1,2.122,0.019510611111111114,8.142311500000005,231.39400000000012
24.0,1.59,38.1,2.115,0.02238375,8.164695250000005,233.50900000000013
24.01,2.13,51.1,2.13,0.030234166666666666,8.194929416666671,235.63900000000012
24.0,2.19,52.5,2.118,0.0308875,8.225816916666671,237.75700000000012
24.01,1.86,44.6,2.119,0.02625205555555556,8.252068972222228,239.87600000000012
24.0,2.22,53.2,2.117,0.03128455555555556,8.283353527777782,241.9930000000001
24.0,2.1,50.4,2.128,0.029792,8.313145527777783,244.1210000000001
24.02,2.13,51.1,2.121,0.030106416666666667,8.34325194444445,246.2420000000001
24.01,1.41,33.8,2.118,0.019885666666666666,8.363137611111117,248.3600000000001
24.0,2.19,52.5,2.132,0.03109166666666667,8.394229277777784,250.4920000000001
24.0,1.92,46.0,2.119,0.027076111111111113,8.421305388888895,252.6110000000001
24.02,2.19,52.6,2.117,0.030931722222222225,8.452237111111117,254.7280000000001
23.95,10.59,253.6,2.13,0.15004666666666666,8.602283777777783,256.8580000000001
23.88,10.23,244.2,2.116,0.14353533333333335,8.745819111111118,258.9740000000001
23.89,10.71,255.8,2.122,0.15077988888888888,8.896599000000007,261.0960000000001
24.02,1.92,46.1,2.118,0.027122166666666666,8.923721166666674,263.2140000000001
24.01,2.19,52.5,2.126,0.031004166666666666,8.954725333333341,265.3400000000001
24.0,1.98,47.5,2.118,0.02794583333333333,8.982671166666675,267.4580000000001
24.0,1.71,41.0,2.117,0.024110277777777776,9.006781444444453,269.5750000000001
24.01,1.68,40.3,2.117,0.023698638888888884,9.030480083333341,271.6920000000001
24.0,1.83,43.9,2.132,0.025998555555555556,9.056478638888896,273.8240000000001
24.01,1.56,37.4,2.119,0.022014055555555558,9.078492694444451,275.94300000000015
24.02,2.19,52.6,2.119,0.03096094444444445,9.109453638888896,278.0620000000002
24.01,1.26,30.2,2.115,0.0177425,9.127196138888896,280.1770000000002
24.0,1.32,31.6,2.124,0.018644,9.145840138888897,282.3010000000002
24.0,1.98,47.5,2.116,0.027919444444444445,9.173759583333341,284.4170000000002
24.01,1.53,36.7,2.118,0.02159183333333333,9.195351416666675,286.5350000000002
23.87,10.68,254.9,2.116,0.14982455555555557,9.345175972222231,288.6510000000002
23.87,10.56,252.0,2.134,0.14938,9.494555972222232,290.7850000000002
